mapping_idx,drugbank_id,mapping_name,normalized_name,core_name,stemmed_core
489,DB00435,Nitric Oxide,nitric oxide,nitric oxide,nitr oxide
377,DB00727,Nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin
742,DB00717,Norethindrone,norethindrone,norethindrone,norethindrone
500,DB00540,Nortriptyline,nortriptyline,nortriptyline,nortriptyline
110,DB00275,Olmesartan,olmesartan,olmesartan,olmesartan
682,DB00991,Oxaprozin,oxaprozin,oxaprozin,oxaprozin
300,DB05143,OXI4503,oxi4503,oxi4503,oxi4503
729,DB01192,Oxymorphone,oxymorphone,oxymorphone,oxymorphone
126,DB00556,Perflutren,perflutren,perflutren,perflutren
694,DB00850,Perphenazine,perphenazine,perphenazine,perphenazine
99,DB02626,Phenylferricrocin-Iron,phenylferricrocin-iron,phenylferricrocin-iron,phenylferricrocin-iron
467,DB09015,Potassium Canrenoate,potassium canrenoate,canrenoate,canreno
476,DB00761,Potassium Chloride,potassium chloride,,
468,DB06715,Potassium Iodide,potassium iodide,,
528,DB06813,Pralatrexate,pralatrexate,pralatrexate,pralatrex
392,DB01058,Praziquantel,praziquantel,praziquantel,praziquantel
690,DB00860,Prednisolone,prednisolone,prednisolone,prednisolone
590,DB00635,Prednisone,prednisone,prednisone,prednisone
683,DB01168,Procarbazine,procarbazine,procarbazine,procarbazine
679,DB00433,Prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine
643,DB00818,Propofol,propofol,propofol,propofol
496,DB02110,Protoporphyrin Ix Containing Co,protoporphyrin ix containing co,protoporphyrin ix containing co,protoporphyrin ix containing co
499,DB03934,Protoporphyrin Ix Containing Zn,protoporphyrin ix containing zn,protoporphyrin ix containing zn,protoporphyrin ix containing zn
751,DB00344,Protriptyline,protriptyline,protriptyline,protriptyline
583,DB05508,PTI-901,pti-901,pti-901,pti-901
614,DB01346,Quinidine barbiturate,quinidine barbiturate,quinidine barbiturate,quinidine barbitur
648,DB00468,Quinine,quinine,quinine,quinine
750,DB00863,Ranitidine,ranitidine,ranitidine,ranitidine
413,DB06155,Rimonabant,rimonabant,rimonabant,rimonabant
298,DB01398,Salicylate-sodium,salicylate-sodium,salicylate-sodium,salicylate-sodium
95,DB04811,Salophen iron chelate,salophen iron chelate,salophen iron chelate,salophen iron chel
97,DB04810,Salophen-10-carboxylate iron chelate,salophen-10-carboxylate iron chelate,salophen-10-carboxylate iron chelate,salophen-10-carboxyl iron chel
20,DB05665,SCH-503034,sch-503034,sch-503034,sch-503034
250,DB00747,Scopolamine,scopolamine,scopolamine,scopolamine
503,DB01153,Sertaconazole,sertaconazole,sertaconazole,sertaconazole
211,DB01236,Sevoflurane,sevoflurane,sevoflurane,sevoflurane
462,DB01105,Sibutramine,sibutramine,sibutramine,sibutramine
311,DB00815,Sodium lauryl sulfate,sodium lauryl sulfate,lauryl,lauryl
304,DB05630,Sodium stibogluconate,sodium stibogluconate,stibogluconate,stiboglucon
165,DB01015,Sulfamethoxazole,sulfamethoxazole,sulfamethoxazole,sulfamethoxazole
671,DB00605,Sulindac,sulindac,sulindac,sulindac
275,DB00469,Tenoxicam,tenoxicam,tenoxicam,tenoxicam
280,DB02638,Terlipressin,terlipressin,terlipressin,terlipressin
745,DB01420,Testosterone Propionate,testosterone propionate,testosterone propionate,testosterone propion
357,DB00360,Tetrahydrobiopterin,tetrahydrobiopterin,tetrahydrobiopterin,tetrahydrobiopterin
524,DB00500,Tolmetin,tolmetin,tolmetin,tolmetin
452,DB02665,Trans-2-Phenylcyclopropylamine,trans-2-phenylcyclopropylamine,trans-2-phenylcyclopropylamine,trans-2-phenylcyclopropylamine
451,DB00752,Tranylcypromine,tranylcypromine,tranylcypromine,tranylcypromine
718,DB00831,Trifluoperazine,trifluoperazine,trifluoperazine,trifluoperazine
516,DB00432,Trifluridine,trifluridine,trifluridine,trifluridine
383,DB04455,Trimethyl Glycine,trimethyl glycine,trimethyl glycine,trimethyl glycine
477,DB07424,tripotassium (1R)-4-biphenyl-4-yl-1-phosphonatobutane-1-sulfonate,tripotassium 1r -4-biphenyl-4-yl-1-phosphonatobutane-1-sulfonate,tripotassium 1r -4-biphenyl-4-yl-1-phosphonatobutane-1-sulfonate,tripotassium 1r -4-biphenyl-4-yl-1-phosphonatobutane-1-sulfon
443,DB00197,Troglitazone,troglitazone,troglitazone,troglitazone
740,DB00194,Vidarabine,vidarabine,vidarabine,vidarabine
701,DB05251,VRX496,vrx496,vrx496,vrx496
570,DB00943,Zalcitabine,zalcitabine,zalcitabine,zalcitabine
433,DB00744,Zileuton,zileuton,zileuton,zileuton
589,DB01198,Zopiclone,zopiclone,zopiclone,zopiclone
631,DB01624,Zuclopenthixol,zuclopenthixol,zuclopenthixol,zuclopenthixol
