drug_name,txt_idx,mapping_idx,delta
Fosfomycin,365,461,96
Fosinopril,557,584,27
Fosphenytoin,379,39,-340
Fotemustine,437,448,11
Frovatriptan,467,91,-376
Fulvestrant,157,193,36
Furosemide,445,358,-87
Gabapentin,444,3,-441
Gadoteridol,442,206,-236
Gadoversetamide,74,378,304
Galantamine,679,637,-42
Ganciclovir,389,113,-276
Gatifloxacin,525,242,-283
Gefitinib,238,158,-80
Gemcitabine,725,632,-93
Gemfibrozil,343,330,-13
Gemifloxacin,199,650,451
Gliclazide,150,236,86
Glimepiride,285,315,30
Glipizide,287,366,79
Gonadorelin,738,342,-396
Goserelin,355,67,-288
Granisetron,547,234,-313
Guanfacine,19,191,172
Halofantrine,345,391,46
Haloperidol,574,154,-420
Hydralazine,610,178,-432
Hydrochlorothiazide,609,324,-285
Hydrocortisone,476,603,127
Hydromorphone,602,574,-28
Hyoscyamine,427,327,-100
Ibuprofen,375,212,-163
Ibutilide,671,374,-297
Ifosfamide,66,36,-30
Iloperidone,286,291,5
Imatinib,107,11,-96
Imipramine,68,109,41
Imiquimod,722,61,-661
Indapamide,615,123,-492
Indinavir,633,612,-21
Ingenol Mebutate,670,414,-256
Iodixanol,498,412,-86
Iopamidol,324,619,295
Ipratropium bromide,55,128,73
Irbesartan,54,84,30
Irinotecan,50,646,596
Isosorbide Mononitrate,536,463,-73
Isotretinoin,411,546,135
Isradipine,163,321,158
Itraconazole,707,605,-102
Ivacaftor,159,421,262
Ivermectin,612,251,-361
Ixabepilone,703,232,-471
Ketorolac,91,47,-44
Labetalol,309,261,-48
Lacosamide,292,209,-83
Lamivudine,5,617,612
Lamotrigine,248,10,-238
Lansoprazole,652,160,-492
Lapatinib,246,219,-27
Leflunomide,599,118,-481
Lenalidomide,741,18,-723
Lercanidipine,49,220,171
Letrozole,254,89,-165
Levetiracetam,8,626,618
Levobupivacaine,86,308,222
Levofloxacin,685,79,-606
Levonorgestrel,453,609,156
Lidocaine,376,482,106
Linagliptin,203,404,201
Linezolid,644,696,52
Lisdexamfetamine,187,153,-34
Lisinopril,634,586,-48
Lomefloxacin,479,202,-277
Loratadine,538,441,-97
Lorazepam,537,177,-360
Losartan,607,180,-427
Lovastatin,281,715,434
Loxapine,606,405,-201
Lubiprostone,31,287,256
Lurasidone,412,162,-250
MACITENTAN,337,431,94
Mannitol,234,686,452
Maprotiline,709,386,-323
Maraviroc,662,594,-68
Meloxicam,485,75,-410
Melphalan,46,727,681
Memantine,484,31,-453
Meropenem,511,338,-173
Mesalazine,605,28,-577
Metformin,356,325,-31
Methotrexate,312,571,259
Methyl aminolevulinate,32,345,313
Methylphenidate,319,38,-281
Metolazone,196,425,229
Metoprolol,197,87,-110
Metronidazole,198,157,-41
Metyrapone,576,446,-130
Mexiletine,200,241,41
Mianserin,242,436,194
Micafungin,340,248,-92
Miconazole,241,310,69
Midazolam,183,306,123
Midodrine,182,409,227
Miglustat,146,252,106
Milnacipran,136,142,6
Mirabegron,133,326,193
Mirtazapine,535,19,-516
Misoprostol,531,719,188
Mitoxantrone,587,121,-466
Modafinil,477,119,-358
Mometasone,677,744,67
Montelukast,306,697,391
Morphine,750,573,-177
Moxifloxacin,101,554,453
Mycophenolic acid,527,559,32
Nabilone,496,253,-243
Nabumetone,274,107,-167
Nafarelin,519,708,189
Naltrexone,611,585,-26
Naphazoline,419,493,74
Naproxen,751,562,-189
Naratriptan,497,58,-439
Nebivolol,388,283,-105
Nefazodone,499,54,-445
Nelarabine,155,665,510
Nelfinavir,332,700,368
Nevirapine,616,224,-392
Nicotine,314,636,322
Nifedipine,624,146,-478
Nilotinib,252,13,-239
Nilutamide,268,244,-24
Nimodipine,682,368,-314
Nisoldipine,684,438,-246
Nitazoxanide,81,490,409
Nitisinone,694,417,-277
Norfloxacin,430,90,-340
Octreotide,26,339,313
Ofloxacin,571,80,-491
Olopatadine,468,743,275
Omeprazole,513,53,-460
Ondansetron,514,134,-380
Orciprenaline,310,282,-28
Orlistat,729,649,-80
Oseltamivir,370,711,341
Oxcarbazepine,127,55,-72
Oxybutynin,98,76,-22
Oxycodone,489,575,86
Paclitaxel,604,553,-51
Paliperidone,645,62,-583
Palonosetron,253,460,207
Pantoprazole,665,78,-587
Paricalcitol,459,628,169
Paroxetine,328,535,207
Pazopanib,230,249,19
Pemetrexed,320,200,-120
Penciclovir,47,218,171
Penicillamine,4,713,709
Pentostatin,617,641,24
Pentoxifylline,147,285,138
Pergolide,239,567,328
Perindopril,327,367,40
Phentolamine,590,373,-217
Phenytoin,94,35,-59
Pilocarpine,329,618,289
Pimecrolimus,269,710,441
Pimozide,209,122,-87
Pindolol,64,365,301
Pioglitazone,65,230,165
Piperacillin,664,733,69
Pirbuterol,516,346,-170
Plerixafor,421,335,-86
Pomalidomide,117,176,59
Ponatinib,593,151,-442
Posaconazole,326,545,219
Pramipexole,259,533,274
Prasugrel,460,289,-171
Pravastatin,226,639,413
Prazosin,335,355,20
Pregabalin,560,532,-28
Progesterone,317,572,255
Propafenone,502,59,-443
Propranolol,435,188,-247
Pyridostigmine,166,434,268
Quazepam,167,472,305
Quetiapine,380,12,-368
Quinidine,534,647,113
Rabeprazole,494,108,-386
Raloxifene,434,182,-252
Raltegravir,687,233,-454
Raltitrexed,207,273,66
Ramelteon,247,419,172
Ramipril,582,620,38
Ranolazine,621,334,-287
Rasagiline,736,577,-159
Reboxetine,95,205,110
Regadenoson,452,428,-24
Regorafenib,142,302,160
Remifentanil,145,668,523
Ribavirin,71,549,478
Rifaximin,78,674,596
Riluzole,219,17,-202
Rimantadine,220,415,195
Risperidone,218,2,-216
Ritonavir,137,564,427
Rivaroxaban,697,723,26
Rivastigmine,465,543,78
Rizatriptan,217,70,-147
Rofecoxib,680,375,-305
Roflumilast,711,403,-308
Ropinirole,681,1,-680
Ropivacaine,456,611,155
Rosiglitazone,462,294,-168
Rotigotine,313,703,390
Rufinamide,754,201,-553
Salbutamol,212,73,-139
Salmeterol,723,235,-488
Saquinavir,93,561,468
Selegiline,592,552,-40
Sertraline,673,555,-118
Sevelamer,20,371,351
Sildenafil,451,104,-347
Simvastatin,618,137,-481
Sirolimus,429,569,140
Sitagliptin,316,226,-90
Sitaxentan,648,296,-352
Sodium bicarbonate,278,309,31
Solifenacin,97,198,101
Sorafenib,649,68,-581
Sotalol,231,166,-65
Sparfloxacin,111,602,491
Stavudine,747,698,-49
Sufentanil,21,429,408
Sumatriptan,403,30,-373
Sunitinib,215,568,353
Tacrolimus,123,538,415
Tadalafil,40,144,104
Tamoxifen,500,613,113
Tamsulosin,700,725,25
Tapentadol,295,709,414
Tazarotene,224,400,176
Tegaserod,487,243,-244
Telaprevir,102,288,186
Telbivudine,651,756,105
Telithromycin,1,659,658
Telmisartan,140,66,-74
Temazepam,280,360,80
Temozolomide,282,40,-242
Temsirolimus,520,623,103
Terazosin,640,217,-423
Terbinafine,45,664,619
Terbutaline,639,349,-290
Testosterone,717,557,-160
Tetrabenazine,718,483,-235
Thalidomide,749,46,-703
Theophylline,222,353,131
Thiotepa,28,389,361
Tiagabine,18,579,561
Tiaprofenic acid,175,328,153
Ticagrelor,675,384,-291
Timolol,517,615,98
Tinidazole,122,372,250
Tizanidine,291,49,-242
Tobramycin,236,644,408
Tolcapone,105,34,-71
Tolvaptan,69,254,185
Topiramate,378,539,161
Topotecan,273,735,462
Torasemide,118,343,225
Tramadol,575,534,-41
Trametinib,716,190,-526
Trandolapril,108,624,516
Tranexamic Acid,753,290,-463
Travoprost,308,633,325
Trazodone,33,72,39
Treprostinil,443,435,-8
Tretinoin,714,547,-167
Triamcinolone,595,642,47
Triazolam,696,444,-252
Trimethoprim,505,116,-389
Trimetrexate,410,388,-22
Trospium,478,266,-212
Trovafloxacin,569,364,-205
Ursodeoxycholic acid,533,606,73
Valaciclovir,567,699,132
Valdecoxib,364,336,-28
Valganciclovir,333,135,-198
Valproic Acid,472,112,-360
Valsartan,318,739,421
Vandetanib,626,105,-521
Vardenafil,41,376,335
Varenicline,601,29,-572
Vemurafenib,425,161,-264
Venlafaxine,304,0,-304
Verapamil,267,136,-131
Verteporfin,530,341,-189
Vigabatrin,243,51,-192
Vilazodone,642,228,-414
Vincristine,266,676,410
Vinorelbine,347,653,306
Vismodegib,565,423,-142
Voriconazole,172,45,-127
Zafirlukast,250,406,156
Zaleplon,249,27,-222
Zidovudine,596,634,38
Ziprasidone,367,14,-353
Zolmitriptan,369,587,218
Zolpidem,359,23,-336
Zonisamide,357,44,-313
