adr_term,adr_synonyms,meddra_code,adr_term_lower
Abnormal clotting factor,Abnormal clotting factor,10049862,abnormal clotting factor
Thrombotic microangiopathy,"Thrombotic microangiopathy | Thrombotic microangiopathy NOS | Thrombotic Microangiopathies | Microangiopathies, Thrombotic | Microangiopathy, Thrombotic | Thrombotic Microangiopathy",10043645,thrombotic microangiopathy
Hypercoagulation,Hypercoagulation | Thrombophilia | Hypercoagulability | Thrombophilias | Hypercoagulabilities,10020608,hypercoagulation
Purpura fulminans,"Purpura fulminans | Purpura Fulminans | Fulminans, Purpura",10037556,purpura fulminans
Anaphylactoid syndrome of pregnancy,"Amniotic fluid embolism | Amniotic fluid embolism, antepartum condition or complication | Amniotic fluid embolism, postpartum condition or complication | Amniotic fluid embolism, unspecified as to episode of care | Amniotic fluid embolism, with delivery, with mention of postpartum complication | Amniotic fluid embolism, with delivery, with or without mention of antepartum condition | Amniotic fluid embolus | Embolus amniotic fluid | Anaphylactoid syndrome of pregnancy | Embolism, Amniotic Fluid | Amniotic Fluid Embolisms | Embolisms, Amniotic Fluid | Amniotic Fluid Embolism",10067010,anaphylactoid syndrome of pregnancy
Dilutional coagulopathy,Dilutional coagulopathy,10060906,dilutional coagulopathy
Factor VIII inhibition,Factor VIII inhibition | Factor VIII inhibition recurrence,10048619,factor viii inhibition
Heparin resistance,Heparin resistance,10059598,heparin resistance
Hyperfibrinogenaemia,Hyperfibrinogenaemia | Hyperfibrinogenemia,10051124,hyperfibrinogenaemia
Acquired dysfibrinogenaemia,Acquired dysfibrinogenaemia | Acquired dysfibrinogenemia,10051122,acquired dysfibrinogenaemia
Antiphospholipid syndrome,"Antiphospholipid syndrome | Anticardiolipin antibody syndrome | Hughes syndrome | Seronegative antiphospholipid syndrome | Catastrophic antiphospholipid syndrome | Secondary antiphospholipid syndrome | Antiphospholipid Syndrome | Syndrome, Antiphospholipid | Hughes Syndrome | Syndrome, Hughes | Antiphospholipid Antibody Syndrome | Antibody Syndrome, Antiphospholipid | Antiphospholipid Antibody Syndromes | Syndrome, Antiphospholipid Antibody | Anti-Phospholipid Antibody Syndrome | Anti Phospholipid Antibody Syndrome | Antibody Syndrome, Anti-Phospholipid | Syndrome, Anti-Phospholipid Antibody | Anti-Phospholipid Syndrome | Anti Phospholipid Syndrome | Syndrome, Anti-Phospholipid",10002817,antiphospholipid syndrome
Coagulation disorder neonatal,Coagulation disorder neonatal | Coagulation disorder neonatal (NOS) | Other transient neonatal disorders of coagulation,10009732,coagulation disorder neonatal
Factor V inhibition,Factor V inhibition,10056335,factor v inhibition
Hyperhomocysteinaemia,Hyperhomocysteinaemia | Hyperhomocysteinemia | Homocysteinemia | Homocysteinaemia | Hyperhomocysteinemias,10051286,hyperhomocysteinaemia
Factor IX inhibition,Factor IX inhibition | Factor IX inhibition recurrence,10051778,factor ix inhibition
Factor XIII inhibition,Factor XIII inhibition,10059608,factor xiii inhibition
Von Willebrand's factor inhibition,Von Willebrand's factor inhibition,10070690,von willebrand's factor inhibition
Hyperprothrombinaemia,Hyperprothrombinemia | Hyperprothrombinaemia,10067920,hyperprothrombinaemia
Bleeding tendencies,Not Available,10005133,bleeding tendencies
Ecchymosis,Ecchymoses | Ecchymosis | Ecchymosis NOS | Rash ecchymotic | Spontaneous ecchymoses | Suggillation,10014080,ecchymosis
Petechiae,Petechia | Petechiae | Petechial rash | Rash petechial | Capillary haemorrhage | Capillary hemorrhage | Petechiae on lower extremities | Purpura | Purpuras,10034754,petechiae
Haemorrhagic diathesis,"Bleeding tendency | Haemorrhagic diathesis | Hemorrhagic diathesis | Aggravated bleeding tendency | Hemorrhagic Disorders | Disorder, Hemorrhagic | Disorders, Hemorrhagic | Hemorrhagic Disorder | Hemorrhagic Diathesis | Diatheses, Hemorrhagic | Diathesis, Hemorrhagic | Hemorrhagic Diatheses",10062713,haemorrhagic diathesis
Haemorrhagic disorder,"Haemorrhage abnormal | Haemorrhagic disorder | Haemorrhagic disorder due to circulating anticoagulants | Hemorrhagic disorder due to circulating anticoagulants | Other specified haemorrhagic conditions | Other specified hemorrhagic conditions | Purpura and other haemorrhagic conditions | Purpura and other hemorrhagic conditions | Unspecified haemorrhagic conditions | Unspecified hemorrhagic conditions | Hemorrhage abnormal | Hemorrhagic disorder | Hemorrhagic Disorders | Disorder, Hemorrhagic | Disorders, Hemorrhagic | Hemorrhagic Disorder | Hemorrhagic Diathesis | Diatheses, Hemorrhagic | Diathesis, Hemorrhagic | Hemorrhagic Diatheses",10019009,haemorrhagic disorder
Increased tendency to bruise,Increased tendency to bruise | Spontaneous bruising | Tendency to bruise easily,10021688,increased tendency to bruise
Spontaneous haematoma,Spontaneous haematoma | Spontaneous hematoma,10065304,spontaneous haematoma
