adr_term,adr_synonyms,meddra_code,adr_term_lower
Tetrahydrobiopterin deficiency,"Tetrahydrobiopterin deficiency | Phenylketonurias | Phenylketonuria | Hyperphenylalaninemia, Non-Phenylketonuric | Hyperphenylalaninemia, Non Phenylketonuric | Non-Phenylketonuric Hyperphenylalaninemias | BH4 Deficiency | Deficiency, BH4 | Non-Phenylketonuric Hyperphenylalaninemia | Non Phenylketonuric Hyperphenylalaninemia | Tetrahydrobiopterin Deficiency | Deficiency, Tetrahydrobiopterin | Hyperphenylalaninemia Caused by a Defect in Biopterin Metabolism | Phenylketonuria II | DHPR Deficiency | Deficiency, DHPR | Dihydropteridine Reductase Deficiency | Deficiency, Dihydropteridine Reductase | Dihydropteridine Reductase Deficiency Disease | HPABH4C | Hyperphenylalaninemia, Tetrahydrobiopterin-Deficient, Due To DHPR Deficiency | Phenylketonuria, Atypical | Atypical Phenylketonuria | PKU, Atypical | Atypical PKU | QDPR Deficiency | Deficiency, QDPR | Quinoid Dihydropteridine Reductase Deficiency | Hyperphenylalaninemia, BH4-Deficient, C | Deficiency Disease, Dihydropteridine Reductase | Phenylketonuria Type 2 | Hyperphenylalaninaemia | Phenylketonuria I | Deficiency Disease, Phenylalanine Hydroxylase, Severe | Folling Disease | Disease, Folling | Folling's Disease | Disease, Folling's | Phenylketonuria, Classical | Classical Phenylketonuria | PAH Deficiency | Deficiency, PAH | Phenylalanine Hydroxylase Deficiency | Deficiency, Phenylalanine Hydroxylase | Phenylalanine Hydroxylase Deficiency Disease | Phenylalanine Hydroxylase Deficiency Disease, Severe | Deficiency Disease, Phenylalanine Hydroxylase | Oligophrenia Phenylpyruvica",10069116,tetrahydrobiopterin deficiency
Hyperglycinaemia,"Nonketotic hyperglycinaemia | Nonketotic hyperglycinemia | Hyperglycinaemia | Glycine encephalopathy | Hyperglycinemia | Hyperglycinemia, Nonketotic | Hyperglycinemias, Nonketotic | Nonketotic Hyperglycinemias | Nonketotic Hyperglycinemia | Glycine Encephalopathy | Encephalopathies, Glycine | Encephalopathy, Glycine | Glycine Encephalopathies | Non-ketotic Hyperglycinemia | Hyperglycinemia, Non-ketotic | Hyperglycinemias, Non-ketotic | Non ketotic Hyperglycinemia | Non-ketotic Hyperglycinemias | Hyperglycinemia, Nonketotic, Type III | Type III Nonketotic Hyperglycinemia | Nonketotic Hyperglycinemia, Type III | Hyperglycinemia, Nonketotic, Type I | Type I Nonketotic Hyperglycinemia | Nonketotic Hyperglycinemia, Type I | Hyperglycinemia, Nonketotic, Type II | Type II Nonketotic Hyperglycinemia | Nonketotic Hyperglycinemia, Type II",10080883,hyperglycinaemia
Inborn errors of bilirubin metabolism,Not Available,10021603,inborn errors of bilirubin metabolism
Gilbert's syndrome,"Gilbert's syndrome | Morbus Meulengracht | Gilbert Disease | Disease, Gilbert | Gilbert's Disease | Disease, Gilbert's | Gilberts Disease | Gilbert's Syndrome | Gilberts Syndrome | Syndrome, Gilbert's | Hyperbilirubinemia 1 | Hyperbilirubinemia 1s | Unconjugated Benign Bilirubinemia | Hyperbilirubinemia, Arias Type | Arias Type Hyperbilirubinemia | Arias Type Hyperbilirubinemias | Hyperbilirubinemias, Arias Type | Constitutional Liver Dysfunction | Familial Nonhemolytic Jaundice | Gilbert-Lereboullet Syndrome | Meulengracht Syndrome | Gilbert Syndrome | Syndrome, Gilbert | Hyperbilirubinemia I",10018267,gilbert's syndrome
Inborn errors of metabolism NEC,Not Available,10021606,inborn errors of metabolism nec
Pseudocholinesterase deficiency,Pseudocholinesterase deficiency,10062674,pseudocholinesterase deficiency
Inborn errors of lipid metabolism,Not Available,10059674,inborn errors of lipid metabolism
Type IIa hyperlipidaemia,"Familial hyperlipidaemia | Fredrickson Type IIa hyperlipidaemia | Fredrickson Type IIa hyperlipoproteinaemia | Fredrickson Type IIa lipidaemia | Pure hypercholesterolaemia | Pure hypercholesterolemia | Type IIa hyperlipidaemia | Type IIa hyperlipidemia | Familial hypercholesterolaemia | Familial hypercholesterolemia | Familial hyperlipidemia | Heterozygous familial hypercholesterolemia | Homozygous familial hypercholesterolemia | Heterozygous familial hypercholesterolaemia | Homozygous familial hypercholesterolaemia | Fredrickson Type IIa hyperlipidemia | Fredrickson Type IIa hyperlipoproteinemia | Fredrickson Type IIa lipidemia | Type IIa hyperlipoproteinaemia | Type IIa hyperlipoproteinemia | Autosomal recessive hypercholesterolemia | Autosomal recessive hypercholesterolaemia | Hyperlipoproteinemia Type II | Hyperlipoproteinemia Type IIs | Hyper-Low Density Lipoproteinemia | Density Lipoproteinemia, Hyper-Low | Density Lipoproteinemias, Hyper-Low | Hyper Low Density Lipoproteinemia | Hyper-Low Density Lipoproteinemias | Lipoproteinemia, Hyper-Low Density | Lipoproteinemias, Hyper-Low Density | Hyper-Low-Density-Lipoproteinemia | Hyper-Low-Density-Lipoproteinemias | Hyperlipoproteinemia, Type II | Hyperlipoproteinemias, Type II | Type II Hyperlipoproteinemia | Type II Hyperlipoproteinemias | Hypercholesterolemia, Essential | Essential Hypercholesterolemia | Essential Hypercholesterolemias | Hypercholesterolemias, Essential | Hypercholesterolemia, Familial | Familial Hypercholesterolemia | Familial Hypercholesterolemias | Hypercholesterolemias, Familial | Hypercholesterolemic Xanthomatosis, Familial | Familial Hypercholesterolemic Xanthomatoses | Familial Hypercholesterolemic Xanthomatosis | Hypercholesterolemic Xanthomatoses, Familial | Xanthomatoses, Familial Hypercholesterolemic | Xanthomatosis, Familial Hypercholesterolemic | Hyperlipoproteinemia Type 2 | Hyperlipoproteinemia Type 2s | Type 2, Hyperlipoproteinemia | Hyper-beta-Lipoproteinemia | Hyper beta Lipoproteinemia | Hyper-beta-Lipoproteinemias | Hyperbetalipoproteinemia | Hyperbetalipoproteinemias | Hyperlipoproteinemia Type IIb | Hyperlipoproteinemia Type IIbs | Hypercholesterolemia, Autosomal Dominant, Type B | Familial Combined Hyperlipoproteinemia | Combined Hyperlipoproteinemia, Familial | Combined Hyperlipoproteinemias, Familial | Familial Combined Hyperlipoproteinemias | Hyperlipoproteinemia, Familial Combined | Hyperlipoproteinemias, Familial Combined | Apolipoprotein B-100, Familial Defective | Apolipoprotein B 100, Familial Defective | Apolipoprotein B-100, Familial Ligand-Defective | Apolipoprotein B 100, Familial Ligand Defective | Hyperlipoproteinemia Type IIa | Hyperlipoproteinemia Type IIas | Hyperlipoproteinemia, Type IIa | Hyperlipoproteinemias, Type IIa | Type IIa Hyperlipoproteinemia | Type IIa Hyperlipoproteinemias | Hypercholesterolemia, Autosomal Dominant | Autosomal Dominant Hypercholesterolemia | Autosomal Dominant Hypercholesterolemias | Dominant Hypercholesterolemia, Autosomal | Dominant Hypercholesterolemias, Autosomal | Hypercholesterolemias, Autosomal Dominant | LDL Receptor Disorder | Disorder, LDL Receptor | Disorders, LDL Receptor | LDL Receptor Disorders | Receptor Disorder, LDL | Receptor Disorders, LDL",10045261,type iia hyperlipidaemia
Endocrine disorders congenital,Not Available,10014699,endocrine disorders congenital
Endocrine disorders congenital NEC,Not Available,10027671,endocrine disorders congenital nec
Pseudohypoparathyroidism,"Pseudohypoparathyroidism | Pseudohypoparathyroidisms | Pseudohypoparathyroidism, Type Ib | Pseudohypoparathyroidisms, Type Ib | Type Ib Pseudohypoparathyroidism | Type Ib Pseudohypoparathyroidisms | PHD1b | PHD Ib | PHD Ibs | Pseudohypoparathyroidism, Type Ia | Pseudohypoparathyroidisms, Type Ia | Type Ia Pseudohypoparathyroidism | Type Ia Pseudohypoparathyroidisms | Albright Hereditary Osteodystrophy with Multiple Hormone Resistance | PHP Ia",10037126,pseudohypoparathyroidism
Thyroid disorders congenital,Not Available,10043711,thyroid disorders congenital
Congenital hypothyroidism,"Congenital hypothyroidism | Cretinism | Hypothyroidism congenital | Thyroid hypoplasia | Peripheral hypothyroidism | Congenital Hypothyroidism | Hypothyroidism, Congenital | Endemic Cretinism | Cretinism, Endemic | Fetal Iodine Deficiency Disorder | Myxedema, Congenital",10010510,congenital hypothyroidism
Neurological disorders congenital,Not Available,10029299,neurological disorders congenital
Neurological disorders congenital NEC,Not Available,10029300,neurological disorders congenital nec
Tourette's disorder,"Brissaud's II | Coprolalia-generalized tic | Gilles de la Tourette | Gilles de la Tourette syndrome | Gilles de la Tourette's | Gilles de la Tourette's disorder | Guinon's myospasia impulsiva | Syndrome Gilles de la Tourette | Syndrome Tourette | Tourette syndrome | Tourette's disorder | Tourette's syndrome | Tourettes syndrome | Tourette's syndrome aggravated | Tourette Syndrome | Syndrome, Tourette | Combined Vocal and Multiple Motor Tic Disorder | Gilles de la Tourette Syndrome | Gilles de la Tourette's Disease | Multiple Motor and Vocal Tic Disorder, Combined | Gilles De La Tourette's Syndrome | Tourette Disease | Tourette Disorder | Tourette's Disease | Tourettes Disease | Tourette's Disorder | Tourettes Disorder | Tourette's Syndrome | Tourettes Syndrome | Chronic Motor and Vocal Tic Disorder | Combined Multiple Motor and Vocal Tic Disorder | Tic Disorder, Combined Vocal and Multiple Motor",10044126,tourette's disorder
Neurofibromatosis,"Neurofibromatosis | Neurofibromatosis aggravated | Neurofibromatosis, type 1 (von Recklinghausen's disease) | Neurofibromatosis, type 2 (acoustic neurofibromatosis) | Neurofibromatosis, unspecified | Von Recklinghausen's disease (of nerve) | Neurofibromatosis type 6 | Neurofibromatoses | Neurofibromatosis Syndrome | Neurofibromatosis Syndromes | Syndrome, Neurofibromatosis | Syndromes, Neurofibromatosis | Multiple Neurofibromas | Multiple Neurofibroma | Neurofibroma, Multiple | Neurofibromas, Multiple | Neurofibromatosis 3 | Neurofibromatosis 3s | Neurofibromatosis Type 3 | Neurofibromatosis Type 3s | Type 3, Neurofibromatosis",10029268,neurofibromatosis
Hyperexplexia,Hyperexplexia | Startle disease | Hyperekplexia | Hyperekplexias,10058271,hyperexplexia
Central nervous system disorders congenital NEC,Not Available,10009713,central nervous system disorders congenital nec
Encephalocele,"Encephalocele | Encephalomeningocele | Encephalocystocele | Encephaloceles | Cephalocele | Cephaloceles | Cranial Meningoencephalocele | Cranial Meningoencephaloceles | Meningoencephalocele, Cranial | Meningoencephaloceles, Cranial | Cranium Bifidum | Bifidum, Cranium | Bifidums, Cranium | Cranium Bifidums | Hernia, Cerebral | Cerebral Hernia | Cerebral Hernias | Hernias, Cerebral | Bifid Cranium | Bifid Craniums | Cranium, Bifid | Craniums, Bifid | Craniocele | Cranioceles | Frontal Encephalocele | Encephaloceles, Frontal | Frontal Encephaloceles | Encephalocele, Frontal | Cerebellar Herniation | Cerebellar Herniations | Herniation, Cerebellar | Herniations, Cerebellar | Tonsillar Hernia | Hernia, Tonsillar | Hernias, Tonsillar | Tonsillar Hernias | Tonsillar Herniation | Herniation, Tonsillar | Herniations, Tonsillar | Tonsillar Herniations | Cerebellar Hernia | Cerebellar Hernias | Hernia, Cerebellar | Hernias, Cerebellar | Acquired Encephalocele | Acquired Encephaloceles | Encephaloceles, Acquired | Encephalocele, Acquired | Encephalocele, Sincipital | Encephaloceles, Sincipital | Sincipital Encephaloceles | Sincipital Encephalocele | Occipital Encephalocele | Encephaloceles, Occipital | Occipital Encephaloceles | Notoencephalocele | Notoencephaloceles | Encephalocele, Occipital",10014617,encephalocele
Meningocele,"Meningocele | Hydromeningocele | Meningoceles | Meningeal Herniation | Herniation, Meningeal | Herniations, Meningeal | Meningeal Herniations | Herniation of Meninges | Meninges Herniation | Meninges Herniations | Meningocele, Traumatic | Meningoceles, Traumatic | Traumatic Meningocele | Traumatic Meningoceles | Rudimentary Meningocele | Meningocele, Rudimentary | Meningoceles, Rudimentary | Rudimentary Meningoceles | Acquired Meningocele | Acquired Meningoceles | Meningocele, Acquired | Meningoceles, Acquired",10027266,meningocele
Neural tube defect,"Neural tube defect | Neural Tube Defects | Defect, Neural Tube | Defects, Neural Tube | Neural Tube Defect | Developmental Neural Tube Defects | Neural Tube Developmental Defects | Developmental Defects, Neural Tube | Craniorachischisis | Craniorachischises | Diastematomyelia | Diastematomyelias | Tethered Cord Syndrome | Tethered Cord Syndromes | Occult Spinal Dysraphism Sequence | Tethered Spinal Cord Syndrome | Occult Spinal Dysraphism | Dysraphism, Occult Spinal | Dysraphisms, Occult Spinal | Occult Spinal Dysraphisms | Spinal Dysraphism, Occult | Spinal Dysraphisms, Occult | Iniencephaly | Iniencephalies | Neurenteric Cyst | Cyst, Neurenteric | Cysts, Neurenteric | Neurenteric Cysts | Neuroenteric Cyst | Cyst, Neuroenteric | Cysts, Neuroenteric | Neuroenteric Cysts | Spinal Cord Myelodysplasia | Myelodysplasia, Spinal Cord | Myelodysplasias, Spinal Cord | Spinal Cord Myelodysplasias | Acrania | Acranias | Exencephaly | Exencephalies",10052046,neural tube defect
Congenital central nervous system anomaly,"Anomaly congenital central nervous system | Anomaly congenital central nervous system (NOS) | Central nervous system malformation in fetus affecting management of mother | Central nervous system malformation in fetus, antepartum | Central nervous system malformation in fetus, unspecified as to episode of care in pregnancy | Central nervous system malformation in fetus, with delivery | CNS congenital anomaly | Congenital brain anomaly NOS | Congenital central nervous system anomaly | Congenital CNS anomaly NOS | Congenital reduction deformities of brain | Exencephaly | Other congenital anomalies of nervous system | Other specified congenital anomalies of brain | Other specified congenital anomalies of nervous system | Unspecified congenital anomaly of brain, spinal cord, and nervous system | Congenital cerebral anomaly NOS | Corpus callosum agenesis | Neural Tube Defects | Defect, Neural Tube | Defects, Neural Tube | Neural Tube Defect | Developmental Neural Tube Defects | Neural Tube Developmental Defects | Developmental Defects, Neural Tube | Craniorachischisis | Craniorachischises | Diastematomyelia | Diastematomyelias | Tethered Cord Syndrome | Tethered Cord Syndromes | Occult Spinal Dysraphism Sequence | Tethered Spinal Cord Syndrome | Occult Spinal Dysraphism | Dysraphism, Occult Spinal | Dysraphisms, Occult Spinal | Occult Spinal Dysraphisms | Spinal Dysraphism, Occult | Spinal Dysraphisms, Occult | Iniencephaly | Iniencephalies | Neurenteric Cyst | Cyst, Neurenteric | Cysts, Neurenteric | Neurenteric Cysts | Neuroenteric Cyst | Cyst, Neuroenteric | Cysts, Neuroenteric | Neuroenteric Cysts | Spinal Cord Myelodysplasia | Myelodysplasia, Spinal Cord | Myelodysplasias, Spinal Cord | Spinal Cord Myelodysplasias | Acrania | Acranias | Exencephalies",10010411,congenital central nervous system anomaly
Spina bifida,"Hydrocele, spinal | Open spina bifida | Spina bifida | Spina bifida with hydrocephalus | Spina bifida with hydrocephalus, cervical region | Spina bifida with hydrocephalus, dorsal (thoracic) region | Spina bifida with hydrocephalus, lumbar region | Spina bifida with hydrocephalus, unspecified region | Spina bifida without mention of hydrocephalus | Spina bifida, without mention of hydrocephalus, cervical region | Spina bifida, without mention of hydrocephalus, dorsal (thoracic) region | Spina bifida, without mention of hydrocephalus, lumbar region | Spina bifida, without mention of hydrocephalus, unspecified region | With hydrocephalus, spina bifida, cervical region | With hydrocephalus, spina bifida, dorsal (thoracic) region | With hydrocephalus, spina bifida, lumbar region | With hydrocephalus, spina bifida, unspecified region | Spondyloschisis | Spinal Dysraphism | Dysraphism, Spinal | Dysraphisms, Spinal | Spinal Dysraphisms | Open Spine | Open Spines | Spine, Open | Schistorrhachis | Cleft Spine | Cleft Spines | Spine, Cleft | Spinal Dysraphia | Dysraphia, Spinal | Spinal Dysraphias | Spina Bifida | Bifida, Spina | Spina Bifidas | Status Dysraphicus | Dysraphicus, Status | Rachischisis | Rachischises",10041524,spina bifida
Meningomyelocele,"Meningomyelocele | Myelomeningocele | Meningomyeloceles | Myelomeningoceles | Acquired Meningomyelocele | Acquired Meningomyeloceles | Meningomyelocele, Acquired | Meningomyeloceles, Acquired | Myelomeningocele, Acquired | Acquired Myelomeningocele | Acquired Myelomeningoceles | Myelomeningoceles, Acquired | Myelocele | Myeloceles",10027287,meningomyelocele
Spina bifida occulta,"Closed spina bifida | Spina bifida occulta | Spina Bifida Occulta | Spinal Bifida, Closed | Closed Spinal Bifida | Occult Spina Bifida | Spina Bifida, Occult | Dermal Sinus | Sinus, Dermal",10041525,spina bifida occulta
Cerebral disorders congenital,Not Available,10052634,cerebral disorders congenital
Anencephaly,"Anencephalia | Anencephalus | Anencephalus and similar anomalies | Anencephaly | Congenital Absence of Brain | Brain Congenital Absence | Absence of Brain, Congenital | Anencephalias | Incomplete Anencephaly | Anencephaly, Incomplete | Partial Anencephaly | Anencephalies, Partial | Anencephaly, Partial | Partial Anencephalies | Hemicranial Anencephaly | Anencephaly, Hemicranial | Aprosencephaly | Aprosencephalies",10002320,anencephaly
Cerebral palsy,"Cerebral palsy | Congenital spasticity | Diplegic infantile cerebral palsy | Hemiplegic infantile cerebral palsy | Infantile cerebral palsy | Infantile cerebral palsy, diplegic | Infantile cerebral palsy, hemiplegic | Infantile cerebral palsy, monoplegic | Infantile cerebral palsy, quadriplegic | Infantile cerebral palsy, unspecified | Infantile hemiplegia | Monoplegic infantile cerebral palsy | Other specified infantile cerebral palsy | Palsy cerebral | Paralysis spastic congenital | Quadriplegic infantile cerebral palsy | Spastic palsy (infantile) | Spasticity congenital | Spastic diplegia | Athetoid cerebral palsy | Hypotonic cerebral palsy | Hypertonic cerebral palsy | Dyskinetic cerebral palsy | Ataxic cerebral palsy | Spastic cerebral palsy | Mixed cerebral palsy | Little's disease | Cerebral Palsy | CP (Cerebral Palsy) | Cerebral Palsy, Dystonic-Rigid | Cerebral Palsies, Dystonic-Rigid | Cerebral Palsy, Dystonic Rigid | Dystonic-Rigid Cerebral Palsies | Dystonic-Rigid Cerebral Palsy | Cerebral Palsy, Mixed | Mixed Cerebral Palsies | Mixed Cerebral Palsy | Cerebral Palsy, Monoplegic, Infantile | Monoplegic Infantile Cerebral Palsy | Infantile Cerebral Palsy, Monoplegic | Cerebral Palsy, Quadriplegic, Infantile | Quadriplegic Infantile Cerebral Palsy | Infantile Cerebral Palsy, Quadriplegic | Cerebral Palsy, Rolandic Type | Rolandic Type Cerebral Palsy | Cerebral Palsy, Congenital | Congenital Cerebral Palsy | Little Disease | Little's Disease | Spastic Diplegia | Diplegias, Spastic | Spastic Diplegias | Diplegia, Spastic | Monoplegic Cerebral Palsy | Cerebral Palsies, Monoplegic | Cerebral Palsy, Monoplegic | Monoplegic Cerebral Palsies | Cerebral Palsy, Athetoid | Athetoid Cerebral Palsy | Cerebral Palsies, Athetoid | Cerebral Palsy, Dyskinetic | Cerebral Palsies, Dyskinetic | Dyskinetic Cerebral Palsy | Cerebral Palsy, Atonic | Atonic Cerebral Palsy | Cerebral Palsy, Hypotonic | Hypotonic Cerebral Palsies | Hypotonic Cerebral Palsy | Cerebral Palsy, Diplegic, Infantile | Diplegic Infantile Cerebral Palsy | Infantile Cerebral Palsy, Diplegic | Cerebral Palsy, Spastic | Spastic Cerebral Palsies | Spastic Cerebral Palsy",10008129,cerebral palsy
Musculoskeletal and connective tissue disorders congenital,Not Available,10028396,musculoskeletal and connective tissue disorders congenital
Non-site specific bone disorders congenital,Not Available,10029509,non-site specific bone disorders congenital
Albright's disease,"McCune-Albright syndrome | Albright's disease | Fibrous Dysplasia, Polyostotic | Dysplasia, Polyostotic Fibrous | Dysplasias, Polyostotic Fibrous | Fibrous Dysplasias, Polyostotic | Polyostotic Fibrous Dysplasias | Polyostotic Fibrous Dysplasia | Albright Syndrome | Syndrome, Albright | McCune-Albright Syndrome | McCune Albright Syndrome | Syndrome, McCune-Albright | Albright's Disease | Fibrous Dysplasia with Pigmentary Skin Changes and Precocious Puberty | Albright's Syndrome with Precocious Puberty | Albright-Mccune-Sternberg Syndrome | Albright-Sternberg Syndrome | Albright's Syndrome | Syndrome, Albright's | Albright's Disease of Bone",10052032,albright's disease
Osteogenesis imperfecta,"Brittle bone disease | Osteogenesis imperfecta | Bruck syndrome | Osteogenesis Imperfecta | Brittle Bone Disease | Fragilitas Ossium | Ossiums, Fragilitas | Lobstein's Disease | Disease, Lobstein's | Lobsteins Disease | Osteogenesis Imperfecta, Type I | Osteogenesis Imperfecta with Blue Sclerae | Osteogenesis Imperfecta, Type 1 | Lobstein Disease | Disease, Lobstein | Osteogenesis Imperfecta Tarda | Osteogenesis Imperfecta Tardas",10031243,osteogenesis imperfecta
Musculoskeletal and connective tissue disorders of skull congenital,Not Available,10028382,musculoskeletal and connective tissue disorders of skull congenital
Craniosynostosis,"Premature closure of cranial sutures | Craniosynostosis | Craniosynostoses | Craniosynostose | Craniosynostosis, Type 1 | 1 Craniosynostoses, Type | 1 Craniosynostosis, Type | Craniosynostoses, Type 1 | Type 1 Craniosynostoses | Type 1 Craniosynostosis | Plagiocephaly, Synostotic | Synostotic Plagiocephaly | Plagiocephaly, Craniosynostosis | Craniosynostosis Plagiocephaly | Craniostenosis | Craniostenoses | Acrocephaly | Oxycephaly | Trigonocephaly | Scaphocephaly | Sagittal Synostosis | Sagittal Synostoses | Synostoses, Sagittal | Synostosis, Sagittal | Synostotic Anterior Plagiocephaly | Anterior Plagiocephaly, Synostotic | Plagiocephaly, Synostotic Anterior | Unilateral Coronal Synostosis | Coronal Synostoses, Unilateral | Coronal Synostosis, Unilateral | Synostoses, Unilateral Coronal | Synostosis, Unilateral Coronal | Unilateral Coronal Synostoses | Synostotic Posterior Plagiocephaly | Plagiocephaly, Synostotic Posterior | Posterior Plagiocephaly, Synostotic | Craniosynostosis, Lambdoidal | Craniosynostoses, Lambdoidal | Lambdoidal Craniosynostoses | Lambdoidal Craniosynostosis | Lambdoid Synostosis | Lambdoid Synostoses | Synostoses, Lambdoid | Synostosis, Lambdoid | Metopic Synostosis | Metopic Synostoses | Synostoses, Metopic | Synostosis, Metopic | Brachycephaly",10049889,craniosynostosis
Microcephaly,"Microcephalic | Microcephalus | Microcephaly | Skull hypoplasia | Microcephalies | Microlissencephaly | Microlissencephalies | Severe Congenital Microcephaly | Congenital Microcephalies, Severe | Congenital Microcephaly, Severe | Microcephalies, Severe Congenital | Microcephaly, Severe Congenital | Severe Congenital Microcephalies",10027534,microcephaly
Congenital musculoskeletal disorder of skull,"Congenital anomalies of skull and face bones | Congenital musculoskeletal deformities of skull, face, and jaw | Congenital skull malformation NOS | Malformation skull | Skull malformation NOS | Skull malformation | Frontal bossing | Bathrocephaly | Congenital musculoskeletal disorder of skull",10086695,congenital musculoskeletal disorder of skull
Non-site specific cartilage disorders congenital,Not Available,10029510,non-site specific cartilage disorders congenital
Osteochondrodysplasia,"Achondroplasia | Achondroplastic dwarf | Chondrodystrophy | Congenital dwarfism | Achondrogenesis | Osteochondrodysplasia | Achondroplasias | Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans | Skeleton-Skin-Brain Syndrome | Skeleton Skin Brain Syndrome | Skeleton-Skin-Brain Syndromes | Syndrome, Skeleton-Skin-Brain | Syndromes, Skeleton-Skin-Brain | Severe Achondroplasia with Developmental Delay and Acanthosis Nigricans | SADDAN | SADDANs | SADDAN Dysplasia | Dysplasia, SADDAN | Dysplasias, SADDAN | SADDAN Dysplasias",10087151,osteochondrodysplasia
Musculoskeletal and connective tissue disorders of spine congenital,Not Available,10028383,musculoskeletal and connective tissue disorders of spine congenital
Congenital musculoskeletal disorder of spine,"Anomalies of spine, congenital | Anomaly of spine, congenital, unspecified | Congenital anomalies of spine | Congenital musculoskeletal deformities of spine | Congenital spine malformation NOS | Other congenital anomalies of spine | Spine malformation | Spine malformation NOS | Congenital musculoskeletal disorder of spine",10086692,congenital musculoskeletal disorder of spine
"Musculoskeletal and connective tissue disorders of face, neck and jaw congenital",Not Available,10028380,"musculoskeletal and connective tissue disorders of face, neck and jaw congenital"
Dentofacial anomaly,"Dentofacial anomalies, including malocclusion | Dentofacial anomaly | Dentofacial anomaly NOS | Other specified dentofacial anomalies | Unspecified dentofacial anomalies",10012331,dentofacial anomaly
Cleft lip,"Cleft lip | Cleft lip, bilateral, complete | Cleft lip, bilateral, incomplete | Cleft lip, unilateral, complete | Cleft lip, unilateral, incomplete | Cleft lip, unspecified | Hare lip | Harelip | Lip cleft | Cheiloschisis | Cleft lip and nose | Cleft Lip | Cleft Lips | Lip, Cleft | Lips, Cleft | Harelips",10009259,cleft lip
Congenital jaw malformation,Anomalies of relationship of jaw to cranial base | Congenital jaw malformation NOS | Jaw malformation | Jaw malformation NOS | Major anomalies of jaw size | Other jaw asymmetry | Other specified anomaly of jaw size | Other specified anomaly of relationship of jaw to cranial base | Unspecified anomaly of jaw size | Unspecified anomaly of relationship of jaw to cranial base | Congenital jaw malformation,10062336,congenital jaw malformation
Musculoskeletal disorders congenital NEC,Not Available,10029513,musculoskeletal disorders congenital nec
Dysmorphism,"Congenital anomalies of ear, face, and neck | Face malformation | Face malformation NOS | Facial dysmorphism | Other specified congenital anomalies of face and neck | Other specified congenital anomaly of face and neck | Unspecified congenital anomalies of face and neck | Flat philtrum | Dysmorphism",10066054,dysmorphism
Sotos' syndrome,"Sotos' syndrome | Cerebral gigantism | Sotos Syndrome | Syndrome, Sotos | Sotos Sequence | Sequence, Sotos | Sotos' Syndrome | Soto Syndrome | Soto's Syndrome | Syndrome, Sotos' | Cerebral Gigantism | Cerebral Gigantisms | Gigantism, Cerebral | Gigantisms, Cerebral",10064387,sotos' syndrome
Congenital joint malformation,Congenital joint malformation NOS | Joint malformation | Congenital joint malformation,10062337,congenital joint malformation
Metaphyseal dysplasia,Metaphyseal dysplasia | Pyle's disease,10066147,metaphyseal dysplasia
Beckwith-Wiedemann syndrome,"Beckwith-Wiedemann syndrome | Beckwith-Wiedemann Syndrome | Beckwith Wiedemann Syndrome | Syndrome, Beckwith-Wiedemann | Exomphalos-Macroglossia-Gigantism Syndrome | Wiedemann-Beckwith Syndrome (WBS) | Syndrome, Wiedemann-Beckwith (WBS) | Syndromes, Wiedemann-Beckwith (WBS) | Wiedemann Beckwith Syndrome (WBS) | Wiedemann-Beckwith Syndromes (WBS) | EMG Syndrome | EMG Syndromes | Syndrome, EMG | Syndromes, EMG | Wiedemann-Beckwith Syndrome | Syndrome, Wiedemann-Beckwith | Wiedemann Beckwith Syndrome",10050344,beckwith-wiedemann syndrome
Congenital musculoskeletal disorder,"Anomaly congenital musculoskeletal (NOS) | Certain congenital musculoskeletal deformities | Congenital muscle malformation NOS | Congenital musculoskeletal abnorm | Congenital musculoskeletal abnormality NOS | Congenital musculoskeletal deformities of sternocleidomastoid muscle | Congenital skeletal malformation NOS | Muscle malformation | Musculoskeletal congenital | Musculoskeletal congenital anomaly | Musculoskeletal congenital anomoly | Other and unspecified congenital anomalies of musculoskeletal system | Other congenital anomalies of ribs and sternum | Other congenital musculoskeletal anomalies | Other specified congenital anomalies of muscle, tendon, fascia and connective tissues | Other specified congenital anomalies of muscle, tendon, fascia, and connective tissue | Other specified congenital anomaly of muscle, tendon, fascia, and connective tissue | Other specified congenital musculoskeletal anomalies | Other specified nonteratogenic anomalies | Other specified nonteratogenic anomaly | Skeletal malformation | Skeletal malformation NOS | Congenital musculoskeletal anomaly | Congenital musculoskeletal disorder",10086700,congenital musculoskeletal disorder
Musculoskeletal and connective tissue disorders of limbs congenital,Not Available,10028381,musculoskeletal and connective tissue disorders of limbs congenital
Congenital foot malformation,"Anomalies of foot, congenital, not elsewhere classified | Congenital foot malformation NOS | Malformation foot | Malformation foot NOS | Other congenital anomalies of toes | Other congenital deformities of feet | Other congenital deformity of feet | Metatarsal agenesis | Congenital foot malformation | Tarsal coalition | Dorsally adducted fifth toe | Overriding fifth toe | Digiti quinti varus | Congenital toe deformity | Tarsal Coalition | Tarsal Coalitions | Tarsal Synostosis | Synostoses, Tarsal | Synostosis, Tarsal | Tarsal Synostoses",10062332,congenital foot malformation
