idx,se_name,se_text
263,Viral infection,"Viral infection. Also known as: Arthropod-borne viral disease, unspecified, Infection viral, Other arthropod-borne viral diseases"
264,Gamma-glutamyltransferase increased,"Gamma-glutamyltransferase increased. Also known as: Gamma glutamyl transpeptidase increased, Gamma GT increased, Gamma GT raised"
265,Albuminuria,"Albuminuria. Also known as: Albuminuria, Albuminurias"
266,Scotoma,Scotoma
267,Cough,"Cough. Also known as: Cough, Cough increased, Cough nonproductive"
268,Cholecystitis,"Cholecystitis. Also known as: Acalculous cholecystitis, Calculus of gallbladder with other cholecystitis, Calculus of gallbladder with other cholecystitis, with obstruction"
269,Nasopharyngitis,"Nasopharyngitis. Also known as: Acute nasopharyngitis, Acute nasopharyngitis (common cold), Catarrhal lumps"
270,Breast pain,"Breast pain. Also known as: Ache breast, Breast pain, Breast pain female"
271,Neck pain,"Neck pain. Also known as: Acute cervical pain, Cervical pain, Cervicalgia"
272,Skin ulcer,"Skin ulcer. Also known as: Chronic skin ulcer, Chronic skin ulcer of other specified sites, Chronic skin ulcer of unspecified site"
273,Glaucoma,"Glaucoma. Also known as: Corticosteroid-induced glaucoma, Corticosteroid-induced glaucoma, glaucomatous stage, Corticosteroid-induced glaucoma, residual stage"
274,Hyperlipidaemia,"Hyperlipidaemia. Also known as: Hyperlipaemia, Hyperlipemia, Hyperlipidaemia NOS"
275,Mydriasis,"Mydriasis. Also known as: Dilatation pupillary, Dilated pupils, Mydriasis"
276,Depersonalisation,Depersonalisation
277,Tubulointerstitial nephritis,"Tubulointerstitial nephritis. Also known as: Acute interstitial nephritis, Chronic interstitial nephritis, Interstitial nephritis acute"
278,Atrioventricular block,"Atrioventricular block. Also known as: Atrioventricular block, Atrioventricular block (NOS), Atrioventricular block incomplete"
279,Gastrooesophageal reflux disease,"Gastrooesophageal reflux disease. Also known as: Acid reflux (oesophageal), Esophageal reflux, Gastrooesophageal reflux"
280,Haematemesis,"Haematemesis. Also known as: Blood clot discharge, Coffee ground vomiting, Emesis bloody"
281,Haemoptysis,"Haemoptysis. Also known as: Blood streaked sputum, Coughing blood, Haemoptysis"
282,Laryngeal pain,"Laryngeal pain. Also known as: Laryngeal pain, Larynx burning pain of, Larynx pain"
283,Blepharitis,"Blepharitis. Also known as: Blepharitis, Blepharitis, unspecified, Inflammation of eyelids"
284,Cellulitis,"Cellulitis. Also known as: Cellulitis, Cellulitis and abscess of buttock, Cellulitis and abscess of face"
285,Speech disorder,"Speech disorder. Also known as: Abnormal words or word usage NOS, Babbling, Defect speech (NOS)"
286,Hepatic enzyme increased,"Hepatic enzyme increased. Also known as: Elevated liver enzyme levels, Elevated liver enzymes, Hepatic enzymes increased"
287,Akathisia,"Akathisia. Also known as: Acathesia, Akathisia, Motor restlessness"
288,Petechiae,"Petechiae. Also known as: Petechia, Petechiae, Petechial rash"
289,Pallor,"Pallor. Also known as: Blanching of skin, Complexion ill, Looked pale"
290,Chest pain,"Chest pain. Also known as: Ache across chest, Chest ache, Chest aching"
291,Coma,"Coma. Also known as: Coma, Coma (non-diabetic), Coma and stupor"
292,Suicidal ideation,"Suicidal ideation. Also known as: Suicidal ideation, Suicidal tendency, Life weariness"
293,Hypokinesia,"Hypokinesia. Also known as: Activity motor retarded, Hypokinesia, Motor activity retarded"
294,Neuralgia,"Neuralgia. Also known as: Nerve pain, Neuralgia, Neuralgia affecting finger tips"
295,Lymphopenia,"Lymphopenia. Also known as: Lymphocytopenia, Lymphopenia, Prolonged lymphopenia"
296,Parosmia,"Parosmia. Also known as: Altered smell sensation, Disturbances of sensation of smell and taste, Disturbances of smell and taste"
297,Vasodilation procedure,"Vasodilation procedure. Also known as: Vasodilation, Vasodilation procedure, Vasorelaxation"
298,Blood uric acid increased,"Blood uric acid increased. Also known as: Blood urates increased, Blood uric acid increased, Raised serum uric acid"
299,Loss of consciousness,"Loss of consciousness. Also known as: Black-out (not amnesia), Blacked out, Blacked-out (not amnesia)"
300,Eye irritation,"Eye irritation. Also known as: Burning eyes, Burning in eyes, Burning sensation in eye"
301,Hepatic necrosis,"Hepatic necrosis. Also known as: Acute and subacute necrosis of liver, Hepatic lobule necrosis, Hepatic necrosis"
302,Ventricular arrhythmia,"Ventricular arrhythmia. Also known as: Arrhythmia ventricular, Arrhythmia ventricular (NOS), Malignant ventricular arrhythmias"
303,Dermatitis contact,"Dermatitis contact. Also known as: Acne detergicans, Adhesive plaster sensitivity, Allergy to lanolin"
304,Pollakiuria,"Pollakiuria. Also known as: Frequency of micturition, Frequency urinary, Increased urinary frequency"
305,Ageusia,"Ageusia. Also known as: Ageusia, Loss of taste, Taste absent"
306,Wheezing,"Wheezing. Also known as: Increased wheeziness, Wheeze, Wheeze worsened"
307,Neuroleptic malignant syndrome,"Neuroleptic malignant syndrome. Also known as: Neuroleptic malignant, Neuroleptic malignant syndrome, NMS"
308,Disturbance in sexual arousal,"Disturbance in sexual arousal. Also known as: Disturbance in arousal NOS, Increased sexual arousal, Sexual arousal decreased"
309,Injection site pain,"Injection site pain. Also known as: Injection site burning, Injection site pain, Injection site tenderness"
310,Multiple fractures,"Multiple fractures. Also known as: Broken bones, Clo fos or face & oth bones, with intcran inj of oth & unspec nature, with prol loc and rtrn to pecl, Clo fos or face & oth bones, with intcran inj of oth & unspec nature, with prol loc,w/o rtrn to pecl"
311,Myopathy,"Myopathy. Also known as: Myopathy, Myopathy aggravated, Myopathy steroid"
312,Ileus,"Ileus. Also known as: Ileus, Ileus of bowel, Ileus of colon"
313,Mania,"Mania. Also known as: Acute mania, Atypical manic disorder, Change to manic state"
314,Discomfort,"Discomfort. Also known as: Discomfort, Discomfort bodily, Discomfort NOS"
315,Hypomagnesaemia,"Hypomagnesaemia. Also known as: Hypomagnesaemia, Hypomagnesemia"
316,Glycosuria,"Glycosuria. Also known as: Glycosuria, Glycosuria aggravated, Glucosuria"
317,Gastric ulcer,"Gastric ulcer. Also known as: Acute gastric ulcer without mention of haemorrhage or perforation, Acute gastric ulcer without mention of hemorrhage or perforation, Acute gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
318,Skin disorder,"Skin disorder. Also known as: Disorder skin (NOS), Other disorders of skin and subcutaneous tissue, Other specified conditions involving the integument of fetus and newborn"
319,Nephrolithiasis,"Nephrolithiasis. Also known as: Calculus kidney, Calculus of kidney, Calculus of kidney and ureter"
320,Galactorrhoea,"Galactorrhoea. Also known as: Female lactation, Galactorrhea, Galactorrhea associated with childbirth, unspecified as to episode of care"
321,Interstitial lung disease,"Interstitial lung disease. Also known as: Interstitial lung disease, Interstitial lung fibrosis, Interstitial pneumonia"
322,Gingivitis,"Gingivitis. Also known as: Acute gingivitis, Chronic gingivitis, Gingivitis"
323,Hyperventilation,"Hyperventilation. Also known as: Breathing abnormally deep, Hyperpnea, Hyperpnoea"
324,Protein urine present,"Protein urine present. Also known as: Protein urine positive, Urinary protein increased, Urinary protein positive"
325,Accommodation disorder,"Accommodation disorder. Also known as: Abnormality of accommodation, Accommodation abnormal, Accommodation debility"
326,Hypercalcaemia,"Hypercalcaemia. Also known as: Calcium repletion serum, Hypercalcaemia, Hypercalcemia"
327,Swelling face,"Swelling face. Also known as: Facial puffiness, Facial swelling, Puffiness face"
328,Otitis media,"Otitis media. Also known as: Bilateral otitis media, Middle ear infection, Non-suppurative otitis media"
329,Intestinal obstruction,"Intestinal obstruction. Also known as: Bowel obstruction, Impaction of intestine, Impaction of intestine, unspecified"
330,Mania,"Mania. Also known as: Acute mania, Atypical manic disorder, Change to manic state"
331,Memory impairment,"Memory impairment. Also known as: Forgetfulness, Hypomnesia, Memory deficit"
332,Apnoea,"Apnoea. Also known as: Apnea, Apnoea, Apneas"
333,Abdominal distension,"Abdominal distension. Also known as: Abdo. bloating, Abdomen enlarged, Abdomen enlarged feeling of"
334,Hearing impaired,Hearing impaired
335,Osteoporosis,"Osteoporosis. Also known as: Bone fragile, Disuse osteoporosis, Idiopathic osteoporosis"
336,Tongue disorder,"Tongue disorder. Also known as: Diseases and other conditions of the tongue, Disorder tongue, Other specified conditions of the tongue"
337,Cholelithiasis,"Cholelithiasis. Also known as: Biliary sludge, Biliary stones, Calculus biliary"
338,Blood creatinine increased,"Blood creatinine increased. Also known as: Blood creatinine increased, Creatinine blood increased, Creatinine high"
339,Skin hyperpigmentation,"Skin hyperpigmentation. Also known as: Hyperpigmentation skin, Skin hyperpigmentation, Hypermelanosis"
340,Blood bilirubin increased,"Blood bilirubin increased. Also known as: Bilirubin elevated, Bilirubin increased, Bilirubin total high"
341,Encephalopathy,"Encephalopathy. Also known as: Encephalopathy, Encephalopathy acute, Encephalopathy chronic"
342,Disturbance in attention,"Disturbance in attention. Also known as: Attention concentration difficulty, Attention impaired, Attentiveness decreased"
343,Dermatitis bullous,"Dermatitis bullous. Also known as: Bulla auricular, Bulla dorsum manus, Bullous dermatitis"
344,Laryngitis,"Laryngitis. Also known as: Acute laryngitis, Chronic laryngitis, Laryngitis"
345,Herpes zoster,"Herpes zoster. Also known as: Herpes zoster, Herpes zoster (excl ophthalmic), Herpes zoster C2"
346,Personality disorder,"Personality disorder. Also known as: Adaptability diminished, Aggressive personality, Asthenic personality disorder"
347,Gingival bleeding,"Gingival bleeding. Also known as: Bleeding from teeth, Bleeding gingival, Gingival bleeding"
348,Fungal infection,"Fungal infection. Also known as: Fungal infection, Fungal infection NOS, Infection fungal"
349,Herpes simplex,"Herpes simplex. Also known as: Herpes hominis type II, Herpes simplex, Herpes simplex NOS"
350,Vaginal haemorrhage,"Vaginal haemorrhage. Also known as: Bleeding vaginal, Haemorrhage from vagina, Hemorrhage vaginal"
351,Hypophosphataemia,"Hypophosphataemia. Also known as: Hypophosphataemia, Hypophosphatemia, Phosphorus deficiency"
352,Menstrual disorder,"Menstrual disorder. Also known as: Disorder menstrual, Disorders of menstruation and other abnormal bleeding from female genital tract, Menstrual cycle abnormal"
353,Pleural effusion,"Pleural effusion. Also known as: Effusion pleural, Intrapleural fluid retention of, Other specified forms of pleural effusion, except tuberculous"
354,Skin exfoliation,"Skin exfoliation. Also known as: Desquamation, Exfoliation, Exfoliation NOS"
355,Amblyopia,"Amblyopia. Also known as: Amblyopia, Amblyopia ex anopsia, Amblyopia NOS"
356,Deep vein thrombosis,"Deep vein thrombosis. Also known as: Deep phlebothrombosis, antepartum, unspecified as to episode of care, Deep phlebothrombosis, antepartum, with delivery, Deep phlebothrombosis, postpartum, unspecified as to episode of care"
357,Ventricular fibrillation,"Ventricular fibrillation. Also known as: Fibrillation paroxysmal vent, Fibrillation ventricular, Paroxysmal ventricular fibrillation"
358,Thrombocytosis,"Thrombocytosis. Also known as: Thrombocythaemia, Thrombocythemia, Thrombocytosis"
359,Respiratory tract infection,"Respiratory tract infection. Also known as: Infection respiratory, Recurrent respiratory tract infections, Respiratory infection"
360,Inappropriate antidiuretic hormone secretion,"Inappropriate antidiuretic hormone secretion. Also known as: ADH inappropriate, ADH inappropriate secretion, Inapprop. ADH secretion syndrome"
361,Cholestasis,"Cholestasis. Also known as: Biliary stasis, Cholestasis, Cholestasis extrahepatic"
362,Extrasystoles,"Extrasystoles. Also known as: Bigeminal rhythm, Bigeminy, Coupled beats"
363,Rash erythematous,"Rash erythematous. Also known as: Erythematous eruption, Erythematous florid universal rash, Erythematous rash"
364,Visual acuity reduced,"Visual acuity reduced. Also known as: Deterioration of visual acuity, Low visual acuity, Visual activity decreased"
365,Influenza like illness,"Influenza like illness. Also known as: Flu like symptoms, Flu-like aching, Flu-like illness"
366,Drug eruption,"Drug eruption. Also known as: Dermatitis due to drugs and medicaments taken internally, Dermatitis due to drugs and medicines taken internally, Dermatitis medicamentosa"
367,Muscular weakness,"Muscular weakness. Also known as: Hands weakness of, Lower extremities weakness of, Muscle weakness"
368,Renal pain,"Renal pain. Also known as: Kidney pain, Pain kidney, Renal pain"
369,Generalised oedema,"Generalised oedema. Also known as: Anasarca, Edema generalized, Generalised oedema"
370,Oliguria,"Oliguria. Also known as: Antidiuresis, Oliguria, Oliguria transient"
371,Muscle relaxant therapy,"Muscle relaxant therapy. Also known as: Muscle relaxant, Muscle relaxant therapy"
372,Sexual dysfunction,"Sexual dysfunction. Also known as: Sexual disorder NOS, Sexual dysfunction, Sexual dysfunction NOS"
373,Laryngospasm,"Laryngospasm. Also known as: Glottic spasm, Laryngeal spasm, Laryngismus"
374,Chills,"Chills. Also known as: Chills, Rigor, Rigoring"
375,Visual impairment,"Visual impairment. Also known as: Abnormal retinal correspondence, Abnormal vision, Abnormal vision NOS"
376,Diarrhoea,"Diarrhoea. Also known as: Acute diarrhea, Antibiotic-associated diarrhea, Diarrhea"
377,Paranoia,"Paranoia. Also known as: Acute paranoid reaction, Other specified paranoid states, Paranoia"
378,Haemorrhoids,"Haemorrhoids. Also known as: External haemorrhoids, External haemorrhoids with other complication, External haemorrhoids without mention of complication"
379,Aphasia,"Aphasia. Also known as: Anomia, Aphasia, Aphasia motor"
380,Pharyngeal oedema,"Pharyngeal oedema. Also known as: Edema of pharynx or nasopharynx, Edema pharynx, Oedema pharynx"
381,Toothache,"Toothache. Also known as: Odontalgia, Tooth ache, Toothache"
382,Peptic ulcer,"Peptic ulcer. Also known as: Acute peptic ulcer of unspecified site without mention of haemorrhage and perforation, Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, without mentio"
383,Blood creatine phosphokinase increased,"Blood creatine phosphokinase increased. Also known as: Blood creatine phosphokinase increased, CK increased, CPK increase"
384,Inflammation,"Inflammation. Also known as: Inflammation localised, Inflammation localized, Inflammation NOS"
385,Paralysis,"Paralysis. Also known as: Flaccid paralysis, Neuroparalysis, Other paralytic syndromes"
386,Metrorrhagia,Metrorrhagia
387,Throat tightness,"Throat tightness. Also known as: Constriction throat, Pharynx closed sensation of, Throat constriction"
388,Cardiovascular disorder,"Cardiovascular disorder. Also known as: Cardiovascular disease, unspecified, Cardiovascular disorder, Cardiovascular disorder NOS"
389,Haematoma,"Haematoma. Also known as: Haematoma, Haematoma NOS, Hematoma"
390,Application site reaction,"Application site reaction. Also known as: Application site reaction, Application site reaction NOS, Reaction application site"
391,Cerebral haemorrhage,"Cerebral haemorrhage. Also known as: Cerebral haemorrhage, Cerebral hemorrhage, Haemorrhage cerebral"
392,Oropharyngeal discomfort,"Oropharyngeal discomfort. Also known as: Pharynx discomfort, Pharynx ill sensation of, Pharynx strange sensation of"
393,Mucosal inflammation,"Mucosal inflammation. Also known as: Inflammation mucous membrane, Mucosal inflammation, Mucosal inflammation NOS"
394,Priapism,"Priapism. Also known as: Priapism, Priapism aggravated, Ischaemic priapism"
395,Eyelid oedema,"Eyelid oedema. Also known as: Edema eyelid, Edema of eyelid, Eyelid edema"
396,Paranoia,"Paranoia. Also known as: Acute paranoid reaction, Other specified paranoid states, Paranoia"
397,Endocrine disorder,"Endocrine disorder. Also known as: Disorder endocrine, Endocrine disorder, Endocrine disorder NOS"
398,Keratitis,"Keratitis. Also known as: Certain types of keratoconjunctivitis, Corneal inflammation, Filamentary keratitis"
399,Atrioventricular block,"Atrioventricular block. Also known as: Atrioventricular block, Atrioventricular block (NOS), Atrioventricular block incomplete"
400,Candida infection,"Candida infection. Also known as: Candida NOS, Candidiasis, Candidiasis NOS"
401,Sinus congestion,"Sinus congestion. Also known as: Nasal sinus congestion, Sinus congestion, Sinus swelling"
402,Tooth disorder,"Tooth disorder. Also known as: Dental disorder NOS, Diseases of hard tissues of teeth, Disorder tooth"
403,Yawning,"Yawning. Also known as: Yawn, Yawning, Yawning excessive"
404,Interstitial lung disease,"Interstitial lung disease. Also known as: Interstitial lung disease, Interstitial lung fibrosis, Interstitial pneumonia"
405,Cerebral ischaemia,"Cerebral ischaemia. Also known as: Cerebral ischaemia, Cerebral ischemia, Ischemia cerebral"
406,Sleep disorder,"Sleep disorder. Also known as: Aftersleeping, Disorder sleep, Nonorganic sleep disorder, unspecified"
407,Respiratory distress,"Respiratory distress. Also known as: Distress respiratory, Respiratory distress"
408,Electrocardiogram abnormal,"Electrocardiogram abnormal. Also known as: Abnormal ECG, Abnormal EKG, Disorder ECG/EKG (NOS)"
409,Renal tubular necrosis,"Renal tubular necrosis. Also known as: Acute tubular necrosis, Kidney tubular necrosis, Kidney tubule necrosis"
410,Feeling abnormal,"Feeling abnormal. Also known as: Cotton wool in head, Feeling abnormal, Feeling bad"
411,Bundle branch block,"Bundle branch block. Also known as: Block bundle branch, Bundle branch block, Bundle branch block NOS"
412,Oral candidiasis,"Oral candidiasis. Also known as: Candida of mouth, Candida stomatitis, Candidiasis of mouth"
413,Ulcer,"Ulcer. Also known as: Ulcer, Ulcer NOS, Ulceration"
414,Electrocardiogram QT prolonged,"Electrocardiogram QT prolonged. Also known as: Electrocardiogram QT corrected interval prolonged, Electrocardiogram QT prolonged, Long QT"
415,Night sweats,"Night sweats. Also known as: Night sweat, Night sweats, Nocturnal perspiration"
416,Jaundice cholestatic,"Jaundice cholestatic. Also known as: Cholestatic jaundice, Jaundice cholestatic, Jaundice extrahepatic obstructive"
417,Hyperacusis,"Hyperacusis. Also known as: Auditory hyperacuity, Hearing abnormally acute, Hyperacusis"
418,Dysphonia,"Dysphonia. Also known as: Distorted voice, Disturbance in loudness, Dysphonia"
419,Uveitis,"Uveitis. Also known as: Intermediate uveitis, Panuveitis, Pars planitis"
420,Abdominal discomfort,"Abdominal discomfort. Also known as: Abdo. discomfort, Abdomen burning sensation of, Abdominal discomfort"
421,Hirsutism,"Hirsutism. Also known as: Hirsuitism, Hirsutism, Idiopathic hirsutism"
422,Vaginal discharge,"Vaginal discharge. Also known as: Discharge vaginal, Leukorrhea, Leukorrhea, not specified as infective"
423,Breast enlargement,"Breast enlargement. Also known as: Breast enlargement, Breast enlargement female, Breast size increased"
424,Transient ischaemic attack,"Transient ischaemic attack. Also known as: Intermittent cerebral claudication, Other specified transient cerebral ischemias, TIA"
425,Lacrimation increased,"Lacrimation increased. Also known as: Epiphora, Epiphora due to excess lacrimation, Epiphora due to insufficient drainage"
426,Hypertriglyceridaemia,"Hypertriglyceridaemia. Also known as: Hypertriglyceridaemia, Hypertriglyceridemia, Pure hyperglyceridaemia"
427,Pelvic pain,"Pelvic pain. Also known as: Pain pelvic, Pelvic pain, Pelvic pain NOS"
428,Aphthous stomatitis,Aphthous stomatitis
429,Altered state of consciousness,"Altered state of consciousness. Also known as: Altered state of consciousness, Consciousness abnormal, Consciousness disturbance transient"
430,Neoplasm,"Neoplasm. Also known as: Cystoma, Epithelioma, Neoplasm"
431,Seborrhoeic dermatitis,"Seborrhoeic dermatitis. Also known as: Dermatitis seborrheic, Dermatitis seborrhoeic, Eczema seborrhoeic"
432,Sudden death,"Sudden death. Also known as: Death occurring in less than 24 hours from onset of symptoms, not otherwise explained, Death sudden (NOS), Instantaneous death"
433,Grand mal convulsion,Grand mal convulsion
434,Oropharyngeal pain,"Oropharyngeal pain. Also known as: Anginal symptom (throat not cardiac), Dry and sore throat, Epipharyngopynia"
435,Hyperreflexia,"Hyperreflexia. Also known as: Achilles tendon reflex exaggerated, Exaggerated reflexes, Hyperreflexia"
436,Blood lactate dehydrogenase increased,"Blood lactate dehydrogenase increased. Also known as: Blood lactate dehydrogenase increased, Dehydrogenase lactic blood urine increased, Lactate dehydrogenase increased"
437,Faecal incontinence,Faecal incontinence
438,Serotonin syndrome,"Serotonin syndrome. Also known as: Serotonin syndrome, Serotonin Syndrome, Serotonin Syndromes"
439,Erythema nodosum,"Erythema nodosum. Also known as: Erythema nodosum, Erythema nodosum-like lesion, Erythema Nodosum"
440,Enuresis,"Enuresis. Also known as: Bed wetting, Enuresis, Enuresis (emotional origin, exc incontinence NOS)"
441,Neuritis,"Neuritis. Also known as: Neuritis, Neuritis NOS, Neuronitis"
442,Neurosis,"Neurosis. Also known as: Neurosis, Neurosis NOS, Neurotic disorders"
443,Platelet count decreased,"Platelet count decreased. Also known as: Low platelets, Platelet count decreased, Platelet count low"
444,Peripheral coldness,"Peripheral coldness. Also known as: Cold extremities, Cold feet, Cold hands"
445,Coagulopathy,"Coagulopathy. Also known as: Clotting, Coagulation abnormal, Coagulation defects"
446,Bone disorder,"Bone disorder. Also known as: Bone and (jd) of back, pelvis, & lower limbs of mother, comp preg, c/birth, or the puerp, Bone and (jd) of back, pelvis, and lower limbs of mother, with delivery, with ment of postpart comp, Bone and joint disorders of back, pelvis, and lower limbs of mother, antepartum"
447,Lymphocytosis,"Lymphocytosis. Also known as: Lymphocytosis, Lymphocytoses"
448,Hemiplegia,"Hemiplegia. Also known as: Flaccid hemiplegia, Hemiplegia, Hemiplegia (left)"
449,Blood disorder,"Blood disorder. Also known as: Blood disorder NOS, Blood dyscrasia, Blood dyscrasia NOS"
450,Bruxism,"Bruxism. Also known as: Bruxism, Bruxomania, Gnashing tooth"
451,Abscess,"Abscess. Also known as: Abscess, Abscess NOS, Haematapostema"
452,Pericardial effusion,"Pericardial effusion. Also known as: Effusion pericardial, Effusion pericardial bloody, Pericardial effusion"
453,Liver disorder,"Liver disorder. Also known as: Advanced chronic liver disease, Chronic hepatopathy due to metabolic defect, Chronic liver disease"
454,Dyspepsia,"Dyspepsia. Also known as: Acid dyspepsia, Acid indigestion, Difficult digestion"
455,Hepatotoxicity,"Hepatotoxicity. Also known as: Hepatotoxic effect, Hepatotoxicity, Hepatotoxicity aggravated"
456,Angle closure glaucoma,"Angle closure glaucoma. Also known as: Acute angle closure glaucoma, Acute angle-closure glaucoma, Anatomical narrow angle borderline glaucoma"
457,Bursitis,"Bursitis. Also known as: Achillobursitis, Bursal synovitis, Bursitis"
458,Throat irritation,"Throat irritation. Also known as: Burning in throat, Local throat irritation, Pharyngo-oral irritation"
459,Myocardial ischaemia,"Myocardial ischaemia. Also known as: Cardiac ischaemia, Chronic ischaemic heart disease, unspecified, Chronic ischemic heart disease, unspecified"
460,Eye haemorrhage,"Eye haemorrhage. Also known as: Eye haemorrhage, Eye haemorrhage NOS, Eye hemorrhage"
461,Peripheral vascular disorder,"Peripheral vascular disorder. Also known as: Circulatory disorder peripheral, Disorder peripheral vascular, Disorder vascular peripheral"
462,Pancytopenia,"Pancytopenia. Also known as: Pancytopenia, Secondary pancytopenia, Pancytopenia aggravated"
463,Coronary artery disease,"Coronary artery disease. Also known as: CAD, Coronary artery disease, Coronary artery disease NOS"
464,Atrial flutter,"Atrial flutter. Also known as: Atrial flutter, Flutter atrial, Paroxysmal atrial flutter"
465,Rash pustular,"Rash pustular. Also known as: Pustular rash, Pustular skin eruption, Rash pustular"
466,Goitre,"Goitre. Also known as: Dyshormonogenic goiter, Dyshormonogenic goitre, Enlarged thyroid"
467,Aphasia,"Aphasia. Also known as: Anomia, Aphasia, Aphasia motor"
468,Mental disability,"Mental disability. Also known as: Mental disability, Mental disability NOS"
469,Iritis,"Iritis. Also known as: Iritis, Granulomatous iritis, Iritides"
470,Acute phosphate nephropathy,Acute phosphate nephropathy. Also known as: Acute phosphate nephropathy
471,Muscle rigidity,"Muscle rigidity. Also known as: Lead pipe rigidity, Marked rigidity, Muscle rigidity"
472,Extrapyramidal disorder,"Extrapyramidal disorder. Also known as: Benign shuddering attacks, Drug-induced extrapyramidal side effects, Extrapyramidal disorder"
473,Vulvovaginal candidiasis,"Vulvovaginal candidiasis. Also known as: Candida vaginal, Candidiasis of vulva and vagina, Moniliasis vaginal"
474,Tendonitis,"Tendonitis. Also known as: Achilles bursitis or tendinitis, Achilles tendinitis, Achilles tendonitis"
475,Pyelonephritis,"Pyelonephritis. Also known as: Other pyelonephritis or pyonephrosis, not specified as acute or chronic, Pyelitis or pyelonephritis in diseases classified elsewhere, Pyelonephritis"
476,Laryngeal oedema,"Laryngeal oedema. Also known as: Edema glottis, Edema larynx, Edema of larynx"
477,Nephrocalcinosis,"Nephrocalcinosis. Also known as: Calcinosis renal, Nephrocalcinosis, Randall plaques"
478,Burning sensation,"Burning sensation. Also known as: Burning sensation, Burning sensation NOS, Extremities burning sensation of"
479,Hypochromic anaemia,"Hypochromic anaemia. Also known as: Anaemia hypochromic, Anaemia- Hypochromic microcytic picture, Anemia hypochromic"
480,Duodenal ulcer,"Duodenal ulcer. Also known as: Acute duodenal ulcer, Acute duodenal ulcer without mention of haemorrhage or perforation, Acute duodenal ulcer without mention of hemorrhage or perforation"
481,Haemoglobin decreased,"Haemoglobin decreased. Also known as: Decreased hemoglobin, Haemoglobin decreased, Haemoglobin low"
482,Balance disorder,"Balance disorder. Also known as: Balance difficulty, Balance impaired NOS, Disequilibrium syndrome"
483,Pain in extremity,"Pain in extremity. Also known as: Aches & pains in legs, Aching in limb, Aching pain in hands, forearms, elbows"
484,Respiratory depression,"Respiratory depression. Also known as: Depression respiratory, Respiration depressed, Respiratory depression"
485,Hypothermia,"Hypothermia. Also known as: Hypopyrexia, Hypothermia, Hypothermias"
486,Febrile neutropenia,"Febrile neutropenia. Also known as: Febrile neutropenia, Neutropenic fever, Febrile Neutropenia"
487,Eye pruritus,"Eye pruritus. Also known as: Eye itching, Eyeball itching, Itching eyes"
488,Hepatitis cholestatic,"Hepatitis cholestatic. Also known as: Cholestatic hepatitis, Hepatitis cholestatic, Hepatitis toxic obstructive"
489,Dry throat,"Dry throat. Also known as: Dry throat, Pharynx dry, Throat dry"
490,Pain,"Pain. Also known as: Ache, Ache NOS, Burn lesion pain transient aggravation of"
491,Tongue discolouration,"Tongue discolouration. Also known as: Discoloration tongue, Tongue black, Tongue brown"
492,Fluid retention,"Fluid retention. Also known as: Body fluid retention, Extracellular fluid increased, Fluid retention"
493,Abdominal distension,"Abdominal distension. Also known as: Abdo. bloating, Abdomen enlarged, Abdomen enlarged feeling of"
494,Cyanosis,"Cyanosis. Also known as: Acrocyanosis, Blue lips, Cyanosed"
495,Diverticulitis,"Diverticulitis. Also known as: Chronic diverticulitis, Diverticulitis, Diverticulitis intestinal"
496,Dysaesthesia,"Dysaesthesia. Also known as: Dysaesthesia, Dysesthesia thigh, Dysesthesia extremity"
497,Peritonitis,"Peritonitis. Also known as: Acute appendicitis with generalized peritonitis, Acute or unspecified pelvic peritonitis, female, Other chronic pelvic peritonitis, female"
498,Feeling hot,"Feeling hot. Also known as: Extremities hot feeling of, Feeling hot, Feeling of warmth"
499,Hypoxia,"Hypoxia. Also known as: Alveolar aeration decreased, Hypoxaemia, Hypoxemia"
500,Ejaculation disorder,"Ejaculation disorder. Also known as: Abnormal ejaculation, Ejaculation abnormal, Ejaculation disorder"
501,Joint swelling,"Joint swelling. Also known as: Ankle swelling, Ankles swelling, Ankles swollen"
502,Tenosynovitis,"Tenosynovitis. Also known as: Achilles tenosynovitis, Bicipital tenosynovitis, Other synovitis and tenosynovitis"
503,Musculoskeletal stiffness,"Musculoskeletal stiffness. Also known as: Early morning stiffness, Fingers stiffness, Limbs stiffness"
504,Hyperthyroidism,"Hyperthyroidism. Also known as: Hyperthyroidism, Hyperthyroidism aggravated, Thyrotoxicosis"
505,Completed suicide,"Completed suicide. Also known as: Accomplished suicide, Completed suicide, Suicide"
506,Blood alkaline phosphatase increased,"Blood alkaline phosphatase increased. Also known as: Al-P increased, Alk phos raised, Alkaline phosphastase serum increase"
507,Blister,"Blister. Also known as: Blister, Blister of elbow, forearm, and wrist, without mention of infection, Blister of face, neck, and scalp except eye, without mention of infection"
508,Stridor,"Stridor. Also known as: Stridor, Stridor inspiratory, Respiratory Sounds"
509,Respiratory failure,"Respiratory failure. Also known as: Failure respiratory, Other pulmonary insufficiency, not elsewhere classified, Pulmonary insufficiency following trauma and surgery"
510,Paraesthesia oral,"Paraesthesia oral. Also known as: Circumoral paresthesia, Mouth paresthesia, Paraesthesia circumoral"
511,Optic neuritis,"Optic neuritis. Also known as: Bilateral optic neuritis, Neuritis bulbar, Neuritis optic"
