idx,se_name,se_text
62,Stevens-Johnson syndrome,"Stevens-Johnson syndrome. Also known as: Stevens Johnson reaction, Stevens Johnson syndrome, Stevens Johnson type reaction"
63,Urinary tract infection,"Urinary tract infection. Also known as: Chronic UTI, Infection urinary tract, Lower urinary tract infection"
64,Hepatitis,"Hepatitis. Also known as: Hepatitis, Hepatitis in other infectious diseases classified elsewhere, Hepatitis nonicteric"
65,Depression,"Depression. Also known as: Anxiety depression, Anxious depression, Atypical depressive disorder"
66,Flushing,"Flushing. Also known as: Facial flushing, Flushed, Flushed chest"
67,Conjunctivitis,"Conjunctivitis. Also known as: Acute conjunctivitis, Acute conjunctivitis, unspecified, Acute follicular conjunctivitis"
68,Erectile dysfunction,"Erectile dysfunction. Also known as: Erectile disturbance, Erection decreased, Erection failure"
69,Hyperglycaemia,"Hyperglycaemia. Also known as: Drug-induced hyperglycaemia, Hyperglycaemia, Hyperglycaemia drug-induced"
70,Tinnitus,"Tinnitus. Also known as: Aggravated ringing in ears, Ear buzzing, Ear cracking"
71,Influenza,"Influenza. Also known as: Flu, Flu syndrome, Influenza"
72,Erythema,"Erythema. Also known as: Erythema, Erythema auricular, Erythema circumocular-blepharal"
73,Haematuria,"Haematuria. Also known as: Frank haematuria, Haematuria, Haematuria microscopic"
74,Weight decreased,"Weight decreased. Also known as: Losing wt, Loss of weight, Lost weight"
75,Pneumonia,"Pneumonia. Also known as: Bronchial pneumonia, Bronchopneumonia, Bronchopneumonia NOS"
76,Neutropenia,"Neutropenia. Also known as: Neutropenia, Neutropenia aggravated, Chronic neutropenia"
77,Epistaxis,"Epistaxis. Also known as: Bleeding nose, Epistaxis, Haemorrhage nasal"
78,Hypoaesthesia,"Hypoaesthesia. Also known as: Body numbness, Hypalgesia, Hypesthesia"
79,Alanine aminotransferase increased,"Alanine aminotransferase increased. Also known as: Alanine aminotransferase increase, Alanine aminotransferase increased, ALT increased"
80,Pancreatitis,"Pancreatitis. Also known as: Pancreatitis, Pancreatitis NOS, Pancreatitis steroid-induced"
81,Bronchitis,"Bronchitis. Also known as: Acute bronchitis, Acute bronchitis and bronchiolitis, Acute exacerbation of chronic bronchitis"
82,Atrial fibrillation,"Atrial fibrillation. Also known as: AF, AFib, Alcoholic atrial fibrillation"
83,Chills,"Chills. Also known as: Chills, Rigor, Rigoring"
84,Agranulocytosis,"Agranulocytosis. Also known as: Agranulocytic angina, Agranulocytosis, Angina agranulocytic"
85,Malnutrition,"Malnutrition. Also known as: Arrested development following protein-calorie malnutrition, Malnutrition NOS, Malnutrition of mild degree"
86,Bronchospasm,"Bronchospasm. Also known as: Bronchial spasm, Bronchoconstriction, Bronchospasm"
87,Decreased appetite,"Decreased appetite. Also known as: Anorexia, Anorexic, Appetite absent"
88,Muscle spasms,"Muscle spasms. Also known as: Cramp, Cramp in hand, Cramp in legs thighs"
89,Dysphagia,"Dysphagia. Also known as: Deglutition disorder, Disorder deglutition, Dysphagia"
90,Angina pectoris,"Angina pectoris. Also known as: Angina, Angina aggravated, Angina attack"
91,Weight increased,"Weight increased. Also known as: Weight gain, Weight increase, Weight increased"
92,Nasopharyngitis,"Nasopharyngitis. Also known as: Acute nasopharyngitis, Acute nasopharyngitis (common cold), Catarrhal lumps"
93,Jaundice,"Jaundice. Also known as: Icterus, Jaundice, Jaundice (excl neonatal)"
94,Toxic epidermal necrolysis,"Toxic epidermal necrolysis. Also known as: Drug eruption Lyell syndrome type, Epidermal necrolysis, Lyell"
95,Ataxia,"Ataxia. Also known as: Ataxia, Ataxia NEC, Ataxic"
96,Hypokalaemia,"Hypokalaemia. Also known as: Hypokalaemia, Hypokalemia, Hypopotassaemia"
97,Mental disorder,"Mental disorder. Also known as: Breakdown nervous, Mental aberration, Mental abnormality acute transient"
98,Orthostatic hypotension,"Orthostatic hypotension. Also known as: Hypotension orthostatic, Hypotension orthostatic asymptomatic, Hypotension orthostatic symptomatic"
99,Cardiac disorder,"Cardiac disorder. Also known as: Cardiac disorder NOS, Disorder cardiac (NOS), Heart disease aggravated"
100,Immune system disorder,"Immune system disorder. Also known as: Disorder immune system (NOS), Disorders involving the immune mechanism, Immune disorder (NOS)"
101,Pollakiuria,"Pollakiuria. Also known as: Frequency of micturition, Frequency urinary, Increased urinary frequency"
102,Erythema multiforme,"Erythema multiforme. Also known as: Bullous erythema multiforme, EM, Erythema exsudativum multiforme"
103,Mediastinal disorder,"Mediastinal disorder. Also known as: Mediastinal disorder NOS, Other diseases of mediastinum, not elsewhere classified, Mediastinum widened"
104,Stomatitis,"Stomatitis. Also known as: Buccal inflammation, Mouth irritation, Mucositis oral"
105,Urinary retention,"Urinary retention. Also known as: Acute retention, Acute retention of urine, Bladder inability to empty"
106,Gastritis,"Gastritis. Also known as: Acute gastritis, Acute gastritis, without mention of hemorrhage, Gastric inflammation"
107,Haemoglobin,"Haemoglobin. Also known as: Haem, Haemoglobin, Hem"
108,Hyponatraemia,"Hyponatraemia. Also known as: Hyponatraemia, Hyponatremia, Hyponatremic"
109,Diplopia,"Diplopia. Also known as: Diplopia, Double vision, Vision double"
110,Myocardial infarction,"Myocardial infarction. Also known as: Anterior MI, Attack heart (NOS), Cardiopathy necrotic"
111,Angiopathy,"Angiopathy. Also known as: Degenerative and vascular disorders, unspecified, Disorder vascular, Vascular disorder"
112,Eye disorder,"Eye disorder. Also known as: Disorder eye, Disorder of eye, unspecified, Eye abnormality"
113,Pain in extremity,"Pain in extremity. Also known as: Aches & pains in legs, Aching in limb, Aching pain in hands, forearms, elbows"
114,Aspartate aminotransferase increased,"Aspartate aminotransferase increased. Also known as: Aspartate aminotransferase increase, Aspartate aminotransferase increased, AST increased"
115,Face oedema,"Face oedema. Also known as: Edema face, Face edema, Face oedema"
116,Hypoglycaemia,"Hypoglycaemia. Also known as: Hypoglycaemia, Hypoglycaemia night, Hypoglycaemia NOS"
117,Eosinophilia,"Eosinophilia. Also known as: Eosinophilia, Eosinophilia (excl pulmonary), Eosinophilic granulocytosis"
118,Migraine,"Migraine. Also known as: Fulgurating migraine, Migraine, Migraine aggravated"
119,Dysuria,"Dysuria. Also known as: Burning micturition, Difficulty in micturition, Difficulty voiding"
120,Menopausal symptoms,"Menopausal symptoms. Also known as: Climacteric symptoms, Hot flushes menopausal, Hot flushes, menopausal"
121,Gastrointestinal haemorrhage,"Gastrointestinal haemorrhage. Also known as: Acute on chronic G.I. haemorrhage, Bleeding gastrointestinal, Gastro intestinal bleed"
122,Dry skin,"Dry skin. Also known as: Dry skin, Drying, Hot dry skin"
123,Dehydration,"Dehydration. Also known as: Dehydration, Fluid loss, Hypotonic dehydration"
124,Eye pain,"Eye pain. Also known as: Aching eye socket, Eye ache, Eye pain"
125,Renal failure acute,Renal failure acute
126,Liver function test abnormal,"Liver function test abnormal. Also known as: Abnormal LFTs, Abnormal liver function tests, Deranged liver function tests"
127,Mood swings,"Mood swings. Also known as: Mood swings, Mood variable, Mood instability"
128,Renal failure,"Renal failure. Also known as: Failure kidney, Insufficiency renal, Kidney failure"
129,Hyperhidrosis,"Hyperhidrosis. Also known as: Diaphoresis, Drenching sweats, Excess sweating"
130,Urinary tract disorder,"Urinary tract disorder. Also known as: Disorder urinary tract, Other abnormality of urination, Other symptoms involving urinary system"
131,Gastroenteritis,"Gastroenteritis. Also known as: Gastroenteritis, Gastroenteritis NOS, Gastroenterocolitis"
